timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
36:31.2,LOCATION,user_Xoraegore,Trash613,"ORIGIN(x,y,z):",-1.007825,-0.000465399,1.089561,"Direction(x,y,z):",0.8441889,-0.5357955,-0.01638072
36:31.4,LOCATION,user_Vokelaede,glass648,"ORIGIN(x,y,z):",0.4490401,0.02128775,1.190468,"Direction(x,y,z):",-0.2051576,-0.5866626,-0.7834139
36:31.9,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-1.00373,0.003503695,1.094679,"Direction(x,y,z):",0.8604383,-0.5075583,-0.04506117
36:32.4,LOCATION,user_Xoraegore,Danger658,"ORIGIN(x,y,z):",-1.002234,0.005206006,1.10727,"Direction(x,y,z):",0.8529752,-0.5081583,-0.1191991
36:32.4,LOCATION,user_Xoraegore,Danger617,"ORIGIN(x,y,z):",-0.9956673,0.00394584,1.133557,"Direction(x,y,z):",0.784629,-0.565822,-0.2533829
36:32.5,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9954391,0.00384154,1.133065,"Direction(x,y,z):",0.7852148,-0.5660009,-0.2511587
36:33.0,LOCATION,user_Xoraegore,Danger617,"ORIGIN(x,y,z):",-0.9630692,-0.008410604,1.140041,"Direction(x,y,z):",0.7877834,-0.6109203,-0.07857299
36:33.4,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.961946,-0.007738816,1.140451,"Direction(x,y,z):",0.8011073,-0.5885558,-0.1087621
36:33.5,LOCATION,user_Xoraegore,Danger658,"ORIGIN(x,y,z):",-0.9627116,-0.006620198,1.139736,"Direction(x,y,z):",0.8075655,-0.5767314,-0.1233652
36:33.8,LOCATION,user_Xoraegore,wall 4,"ORIGIN(x,y,z):",-0.9658848,-0.003904173,1.135148,"Direction(x,y,z):",0.8166839,-0.5579814,-0.1472553
36:34.2,LOCATION,user_Xoraegore,glass608,"ORIGIN(x,y,z):",-0.9745347,0.001490244,1.12491,"Direction(x,y,z):",0.8332251,-0.5269675,-0.1674553
