timestamp,subject,user,focus,origin,o_x,o_y,o_z,direction,d_x,d_y,d_z
41:09.4,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.92949,0.06701551,1.059761,"Direction(x,y,z):",-0.9061216,-0.3601181,-0.2219432
41:11.2,SceneChange,Starting first scene...,,,,,,,,,
41:11.3,LOCATION,user_Lufohaelae,Trash,"ORIGIN(x,y,z):",1.912701,0.07706036,0.987012,"Direction(x,y,z):",-0.559936,-0.1730383,0.8102651
41:12.1,LOCATION,user_Lufohaelae,wall 4,"ORIGIN(x,y,z):",1.914984,0.07576585,1.006023,"Direction(x,y,z):",-0.6698807,-0.2140563,0.7109429
41:12.1,LOCATION,user_Mileranu,Danger765,"ORIGIN(x,y,z):",-1.616907,-0.03571961,0.7488481,"Direction(x,y,z):",0.785276,-0.1671427,-0.5961585
41:12.3,LOCATION,user_Mileranu,paper715,"ORIGIN(x,y,z):",-1.633016,-0.0353411,0.7588457,"Direction(x,y,z):",0.7257384,-0.15442,-0.6704164
41:13.4,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-1.754735,-0.020562,1.063467,"Direction(x,y,z):",0.6386315,-0.1623572,-0.7521901
41:14.3,LOCATION,user_Mileranu,Danger725,"ORIGIN(x,y,z):",-1.974628,-0.02749477,1.007796,"Direction(x,y,z):",0.6345038,-0.147859,-0.7586453
41:15.0,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.008776,-0.03065653,1.021268,"Direction(x,y,z):",0.6507308,-0.166872,-0.7407449
41:15.2,LOCATION,user_Mileranu,Trash722,"ORIGIN(x,y,z):",-2.006187,-0.03657354,1.027573,"Direction(x,y,z):",0.6705611,-0.2137087,-0.7104058
41:15.3,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.003633,-0.04221671,1.030345,"Direction(x,y,z):",0.6846417,-0.2546943,-0.6829324
41:15.4,LOCATION,user_Mileranu,floor,"ORIGIN(x,y,z):",-2.000948,-0.04815868,1.03398,"Direction(x,y,z):",0.7078297,-0.3233349,-0.628038
41:15.8,LOCATION,user_Lufohaelae,glass756,"ORIGIN(x,y,z):",1.993787,0.06973149,1.187066,"Direction(x,y,z):",-0.7945646,-0.2508177,-0.5529534
41:16.2,LOCATION,user_Mileranu,wall 4,"ORIGIN(x,y,z):",-2.014304,-0.04121036,1.033166,"Direction(x,y,z):",0.6729367,-0.2642262,-0.6908984
41:16.3,LOCATION,user_Mileranu,Trash723,"ORIGIN(x,y,z):",-2.015765,-0.03875183,1.035834,"Direction(x,y,z):",0.6831086,-0.2367412,-0.6908807
