"contrast","estimate","SE","df","t.ratio","p.value","question"
"sound0 visualization3 - sound1 visualization3",-13.7,11.0864744151707,60.2315783122988,-1.23574000957896,0.817562787938972,"Q3_5"
"sound0 visualization1 - sound1 visualization1",4.15,11.1476613268304,69.4834504274512,0.372275392867534,0.999027459297161,"Q3_6"
"sound0 visualization1 - sound0 visualization2",-7,7.34405709417844,76.0000000000003,-0.953151631344046,0.931003870974412,"Q3_6"
"sound0 visualization1 - sound1 visualization2",0.999999999999999,11.1476613268304,69.4834504274512,0.089704913943984,0.999999146502256,"Q3_6"
"sound0 visualization1 - sound0 visualization3",-0.85,7.34405709417844,75.9999999999999,-0.11573984094892,0.999996971449441,"Q3_6"
"sound0 visualization1 - sound1 visualization3",-8.1,11.1476613268304,69.4834504274512,-0.726609802946271,0.977999176443013,"Q3_6"
"sound1 visualization1 - sound0 visualization2",-11.15,11.1476613268304,69.4834504274512,-1.00020979047542,0.916336384352481,"Q3_6"
"sound1 visualization1 - sound1 visualization2",-3.15,7.34405709417844,76.0000000000003,-0.428918234104821,0.998084776251018,"Q3_6"
"sound1 visualization1 - sound0 visualization3",-5,11.1476613268304,69.4834504274512,-0.44852456971992,0.997619968350034,"Q3_6"
"sound1 visualization1 - sound1 visualization3",-12.25,7.34405709417844,75.9999999999999,-1.66801535485208,0.556861976177045,"Q3_6"
"sound0 visualization2 - sound1 visualization2",8,11.1476613268304,69.4834504274512,0.717639311551872,0.979171563356089,"Q3_6"
"sound0 visualization2 - sound0 visualization3",6.15,7.34405709417844,75.9999999999999,0.837411790395126,0.959519623122022,"Q3_6"
"sound0 visualization2 - sound1 visualization3",-1.1,11.1476613268304,69.4834504274512,-0.0986754053383825,0.999998626814838,"Q3_6"
"sound1 visualization2 - sound0 visualization3",-1.85,11.1476613268304,69.4834504274512,-0.16595409079637,0.999981717840415,"Q3_6"
"sound1 visualization2 - sound1 visualization3",-9.1,7.34405709417844,75.9999999999999,-1.23909712074726,0.816217906317529,"Q3_6"
"sound0 visualization3 - sound1 visualization3",-7.25,11.1476613268304,69.4834504274512,-0.650360626093884,0.986581933701681,"Q3_6"
"sound0 visualization1 - sound1 visualization1",3.79999999999999,11.1278811424857,75.0912935386197,0.341484596334498,0.999362443844056,"Q3_7"
"sound0 visualization1 - sound0 visualization2",-8.9,7.79750010359395,75.9999999999999,-1.14139145646153,0.862437227655231,"Q3_7"
"sound0 visualization1 - sound1 visualization2",2.29999999999999,11.1278811424857,75.0912935386197,0.206688045149827,0.999945909870628,"Q3_7"
"sound0 visualization1 - sound0 visualization3",2.8,7.79750010359395,75.9999999999999,0.35908944697666,0.999186587343873,"Q3_7"
"sound0 visualization1 - sound1 visualization3",-6.30000000000001,11.1278811424857,75.0912935386197,-0.566145514975617,0.992906513535067,"Q3_7"
"sound1 visualization1 - sound0 visualization2",-12.7,11.1278811424857,75.0912935386197,-1.14127746669688,0.862467607614877,"Q3_7"
"sound1 visualization1 - sound1 visualization2",-1.5,7.79750010359395,75.9999999999999,-0.192369346594639,0.999962117183,"Q3_7"
"sound1 visualization1 - sound0 visualization3",-0.999999999999994,11.1278811424857,75.0912935386197,-0.0898643674564464,0.999999142224369,"Q3_7"
